Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Himad Abdelli,dz ALG,"MF,FW",WINGER,Angers,fr Ligue 1,24.0,32,32,2842,31.6,1,3.2,39,207,23,44,38,57,107,121,111,2.98,0.16,6,6.4,35,8,0.09,0.38,0.032,0.101,1.234,6.551,0.728,1.392,1.203,1.804,3.829,3.513,3.386,0.19,0.203,1.108,0.253
Matthis Abline,fr FRA,FW,STRIKER,Nantes,fr Ligue 1,21.0,34,33,2768,30.8,2,3.8,27,48,3,30,15,35,75,86,169,1.98,0.29,9,8.5,73,26,0.11,0.31,0.065,0.123,0.877,1.558,0.097,0.974,0.487,1.136,2.792,5.487,2.435,0.292,0.276,2.37,0.844
Zakaria Aboukhlal,ma MAR,"MF,FW",STRIKER,Toulouse,fr Ligue 1,24.0,26,22,1901,21.1,2,1.6,12,22,0,33,10,16,34,53,164,1.61,0.33,7,10.2,62,26,0.1,0.23,0.095,0.076,0.569,1.043,0.0,1.564,0.474,0.758,2.512,7.773,1.611,0.332,0.483,2.938,1.232
Tammy Abraham,eng ENG,FW,STRIKER,Milan,it Serie A,26.0,28,12,1183,13.1,4,2.2,14,26,5,3,10,4,8,14,69,2.51,0.68,3,7.1,26,11,0.08,0.18,0.305,0.168,1.069,1.985,0.382,0.229,0.763,0.305,1.069,5.267,0.611,0.229,0.542,1.985,0.84
Akor Adams,ng NGA,FW,STRIKER,Montpellier,fr Ligue 1,24.0,15,13,1075,11.9,1,1.0,12,6,1,5,0,7,11,14,45,2.09,0.42,3,4.3,26,12,0.12,0.25,0.084,0.084,1.008,0.504,0.084,0.42,0.0,0.588,1.176,3.782,0.924,0.252,0.361,2.185,1.008
Che Adams,sct SCO,FW,STRIKER,Torino,it Serie A,28.0,36,30,2652,29.5,3,2.0,26,40,4,10,7,11,23,37,153,2.14,0.17,9,9.0,63,25,0.14,0.36,0.102,0.068,0.881,1.356,0.136,0.339,0.237,0.373,1.254,5.186,0.78,0.305,0.305,2.136,0.847
Junior Adamu,at AUT,FW,WINGER/STRIKER,Freiburg,de Bundesliga,23.0,25,19,1545,17.2,2,2.4,17,14,2,5,8,10,8,29,84,1.69,0.17,2,5.5,36,11,0.06,0.18,0.116,0.14,0.988,0.814,0.116,0.291,0.465,0.581,1.686,4.884,0.465,0.116,0.32,2.093,0.64
Karim Adeyemi,de GER,"FW,MF",WINGER,Dortmund,de Bundesliga,22.0,25,17,1433,15.9,6,6.0,28,28,3,26,19,40,68,94,153,3.58,0.69,7,5.5,46,18,0.15,0.39,0.377,0.377,1.761,1.761,0.189,1.635,1.195,2.516,5.912,9.623,4.277,0.44,0.346,2.893,1.132
Simon Adingra,ci CIV,"FW,MF",WINGER,Brighton,eng Premier League,22.0,29,12,1097,12.2,2,2.5,16,18,2,41,17,21,50,50,136,3.86,0.57,2,2.5,33,8,0.06,0.25,0.164,0.205,1.311,1.475,0.164,3.361,1.393,1.721,4.098,11.148,4.098,0.164,0.205,2.705,0.656
Amine Adli,ma MAR,"MF,FW",WINGER,Leverkusen,de Bundesliga,24.0,20,6,766,8.5,0,0.7,11,24,0,33,15,15,37,32,100,3.41,0.0,2,2.7,20,7,0.1,0.29,0.0,0.082,1.294,2.824,0.0,3.882,1.765,1.765,3.765,11.765,4.353,0.235,0.318,2.353,0.824
Oladapo Afolayan,eng ENG,"FW,MF",WINGER,St. Pauli,de Bundesliga,26.0,32,17,1639,18.2,1,3.8,21,32,1,53,14,48,53,98,108,2.86,0.33,3,3.1,38,13,0.08,0.23,0.055,0.209,1.154,1.758,0.055,2.912,0.769,2.637,5.385,5.934,2.912,0.165,0.17,2.088,0.714
Ludovic Ajorque,fr FRA,FW,STRIKER,Brest,fr Ligue 1,30.0,31,29,2495,27.7,2,3.1,35,41,2,7,11,8,10,17,124,2.17,0.29,13,10.4,53,25,0.25,0.52,0.072,0.112,1.264,1.48,0.072,0.253,0.397,0.289,0.614,4.477,0.361,0.469,0.375,1.913,0.903
Ilias Akhomach,ma MAR,"MF,FW",WINGER,Villarreal,es La Liga,20.0,11,7,584,6.5,0,1.0,9,12,1,18,8,19,30,43,64,4.38,0.15,1,0.6,17,6,0.06,0.17,0.0,0.154,1.385,1.846,0.154,2.769,1.231,2.923,6.615,9.846,4.615,0.154,0.092,2.615,0.923
Maghnes Akliouche,fr FRA,"FW,MF",WINGER,Monaco,fr Ligue 1,22.0,32,27,2406,26.7,10,7.3,49,173,8,53,64,50,127,103,226,4.45,0.71,5,9.2,61,17,0.07,0.24,0.375,0.273,1.835,6.479,0.3,1.985,2.397,1.873,3.858,8.464,4.757,0.187,0.345,2.285,0.637
Chuba Akpom,eng ENG,FW,STRIKER,Lille,fr Ligue 1,28.0,14,6,639,7.1,1,0.5,5,7,1,1,4,4,6,9,38,2.39,0.42,3,5.0,18,9,0.11,0.22,0.141,0.07,0.704,0.986,0.141,0.141,0.563,0.563,1.268,5.352,0.845,0.423,0.704,2.535,1.268
Carlos Alcaraz,ar ARG,"FW,MF",STRIKER,Everton,eng Premier League,21.0,15,7,764,8.5,3,1.6,13,42,1,11,18,9,19,18,21,3.89,0.71,2,1.7,26,11,0.08,0.18,0.353,0.188,1.529,4.941,0.118,1.294,2.118,1.059,2.118,2.471,2.235,0.235,0.2,3.059,1.294
Carles Aleñá,es ESP,"MF,FW",WINGER/STRIKER,Getafe,es La Liga,26.0,10,5,452,5.0,0,0.1,3,12,0,6,3,3,3,4,10,1.6,0.0,0,0.9,5,1,0.0,0.0,0.0,0.02,0.6,2.4,0.0,1.2,0.6,0.6,0.8,2.0,0.6,0.0,0.18,1.0,0.2
Carles Aleñá,es ESP,"MF,FW",WINGER/STRIKER,Alavés,es La Liga,26.0,14,13,1090,12.1,2,1.3,19,58,6,31,14,12,18,24,43,3.64,0.33,0,0.7,15,4,0.0,0.0,0.165,0.107,1.57,4.793,0.496,2.562,1.157,0.992,1.983,3.554,1.488,0.0,0.058,1.24,0.331
Alfon,es ESP,"FW,MF",WINGER,Celta Vigo,es La Liga,25.0,26,14,1371,15.2,2,2.6,24,22,1,40,7,25,89,63,170,3.87,0.46,5,4.6,46,19,0.11,0.26,0.132,0.171,1.579,1.447,0.066,2.632,0.461,1.645,4.145,11.184,5.855,0.329,0.303,3.026,1.25
Mohamed Ali Cho,fr FRA,"FW,MF",WINGER,Nice,fr Ligue 1,20.0,27,21,1621,18.0,4,4.0,30,59,9,51,36,20,81,70,133,3.28,0.61,3,4.0,36,15,0.08,0.2,0.222,0.222,1.667,3.278,0.5,2.833,2.0,1.111,3.889,7.389,4.5,0.167,0.222,2.0,0.833
Jim Allevinah,ga GAB,FW,WINGER/STRIKER,Angers,fr Ligue 1,29.0,28,23,1750,19.4,3,2.5,15,48,2,34,13,15,57,48,99,2.0,0.36,1,4.2,35,10,0.03,0.1,0.155,0.129,0.773,2.474,0.103,1.753,0.67,0.773,2.474,5.103,2.938,0.052,0.216,1.804,0.515
Thiago Almada,ar ARG,"MF,FW",WINGER,Lyon,fr Ligue 1,23.0,16,9,951,10.6,4,2.6,22,97,5,47,20,8,38,14,50,4.92,1.04,1,2.0,23,5,0.04,0.2,0.377,0.245,2.075,9.151,0.472,4.434,1.887,0.755,1.321,4.717,3.585,0.094,0.189,2.17,0.472
Domingos André Ribeiro Almeida,pt POR,"MF,FW",WINGER/STRIKER,Valencia,es La Liga,24.0,34,24,1977,22.0,4,3.2,43,142,7,67,24,22,45,54,77,3.92,0.27,0,1.2,18,5,0.0,0.0,0.182,0.145,1.955,6.455,0.318,3.045,1.091,1.0,2.455,3.5,2.045,0.0,0.055,0.818,0.227
Pontus Almqvist,se SWE,"FW,MF",WINGER/STRIKER,Parma,it Serie A,25.0,29,10,1112,12.4,1,1.3,10,12,0,11,4,20,42,50,85,2.1,0.16,1,2.1,26,9,0.04,0.11,0.081,0.105,0.806,0.968,0.0,0.887,0.323,1.613,4.032,6.855,3.387,0.081,0.169,2.097,0.726
Adrià Altimira,es ESP,"DF,FW",WINGER/STRIKER,Leganés,es La Liga,23.0,22,19,1630,18.1,0,0.5,11,42,2,28,10,10,23,31,69,1.16,0.06,0,0.3,7,2,0.0,0.0,0.0,0.028,0.608,2.32,0.11,1.547,0.552,0.552,1.713,3.812,1.271,0.0,0.017,0.387,0.11
