Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,CK,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,CK_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,16,11,1033,11.5,0,0.1,2,22,0,0,0,3,7,3,0.55,0.0,17,11,14,26,57,1,0.0,0.009,0.174,1.913,0.0,0.0,0.0,0.261,0.609,0.261,1.478,0.957,1.217,2.261,4.957,0.087
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,12,10,855,9.5,0,0.0,0,52,0,2,0,1,4,5,0.84,0.0,21,14,15,11,56,1,0.0,0.0,0.0,5.474,0.0,0.211,0.0,0.105,0.421,0.526,2.211,1.474,1.579,1.158,5.895,0.105
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,25,17,1393,15.5,2,1.9,20,42,0,51,0,12,29,101,2.91,0.19,43,25,20,20,37,0,0.129,0.123,1.29,2.71,0.0,3.29,0.0,0.774,1.871,6.516,2.774,1.613,1.29,1.29,2.387,0.0
Abel,es ESP,DF,Osasuna,es La Liga,23.0,35,20,2074,23.0,0,1.0,16,77,3,85,0,18,35,92,1.69,0.17,61,37,18,29,64,2,0.0,0.043,0.696,3.348,0.13,3.696,0.0,0.783,1.522,4.0,2.652,1.609,0.783,1.261,2.783,0.087
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,19,12,1090,12.1,1,1.1,11,66,1,31,6,6,12,55,2.06,0.08,29,20,5,15,41,0,0.083,0.091,0.909,5.455,0.083,2.562,0.496,0.496,0.992,4.545,2.397,1.653,0.413,1.24,3.388,0.0
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,29,29,2463,27.4,1,0.3,8,79,1,5,0,3,4,4,0.91,0.11,36,23,39,28,146,1,0.036,0.011,0.292,2.883,0.036,0.182,0.0,0.109,0.146,0.146,1.314,0.839,1.423,1.022,5.328,0.036
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,23,20,1710,19.0,1,0.6,9,62,0,10,0,3,4,22,1.05,0.05,23,19,26,22,81,0,0.053,0.032,0.474,3.263,0.0,0.526,0.0,0.158,0.211,1.158,1.211,1.0,1.368,1.158,4.263,0.0
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,22,15,1409,15.7,1,0.2,1,42,2,0,0,4,6,1,0.96,0.06,17,13,11,9,80,0,0.064,0.013,0.064,2.675,0.127,0.0,0.0,0.255,0.382,0.064,1.083,0.828,0.701,0.573,5.096,0.0
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,16,16,1410,15.7,0,0.2,4,31,1,2,0,10,13,2,1.09,0.19,30,19,12,19,90,0,0.0,0.013,0.255,1.975,0.064,0.127,0.0,0.637,0.828,0.127,1.911,1.21,0.764,1.21,5.732,0.0
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,14,14,1260,14.0,0,0.3,8,77,3,1,0,9,12,0,1.5,0.07,25,17,19,22,64,1,0.0,0.021,0.571,5.5,0.214,0.071,0.0,0.643,0.857,0.0,1.786,1.214,1.357,1.571,4.571,0.071
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,22,21,1751,19.5,0,1.8,20,43,0,49,0,9,35,105,1.8,0.05,30,14,21,27,48,0,0.0,0.092,1.026,2.205,0.0,2.513,0.0,0.462,1.795,5.385,1.538,0.718,1.077,1.385,2.462,0.0
Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,21,21,1760,19.6,0,0.1,5,75,0,2,0,5,10,1,0.82,0.05,30,24,13,21,91,0,0.0,0.005,0.255,3.827,0.0,0.102,0.0,0.255,0.51,0.051,1.531,1.224,0.663,1.071,4.643,0.0
Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31.0,16,13,1124,12.5,2,1.9,11,74,2,47,0,9,21,101,2.08,0.4,34,18,13,25,23,0,0.16,0.152,0.88,5.92,0.16,3.76,0.0,0.72,1.68,8.08,2.72,1.44,1.04,2.0,1.84,0.0
Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,8,6,583,6.5,0,0.0,0,14,0,0,0,1,1,0,0.15,0.0,5,5,5,8,26,1,0.0,0.0,0.0,2.154,0.0,0.0,0.0,0.154,0.154,0.0,0.769,0.769,0.769,1.231,4.0,0.154
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,35,35,2995,33.3,1,1.4,16,107,0,59,0,33,72,67,1.86,0.12,55,42,33,34,115,4,0.03,0.042,0.48,3.213,0.0,1.772,0.0,0.991,2.162,2.012,1.652,1.261,0.991,1.021,3.453,0.12
Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23.0,37,37,3109,34.5,7,5.5,46,108,3,94,30,63,137,176,2.63,0.35,89,57,26,42,75,2,0.203,0.159,1.333,3.13,0.087,2.725,0.87,1.826,3.971,5.101,2.58,1.652,0.754,1.217,2.174,0.058
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,24,17,1438,16.0,0,1.2,8,56,0,14,0,7,16,44,1.13,0.13,26,18,12,17,50,0,0.0,0.075,0.5,3.5,0.0,0.875,0.0,0.438,1.0,2.75,1.625,1.125,0.75,1.062,3.125,0.0
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,26,23,2014,22.4,0,0.4,9,158,4,11,0,2,2,7,1.65,0.13,19,12,9,11,64,3,0.0,0.018,0.402,7.054,0.179,0.491,0.0,0.089,0.089,0.312,0.848,0.536,0.402,0.491,2.857,0.134
Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20.0,9,6,500,5.6,0,0.1,2,29,1,3,0,1,1,9,0.9,0.0,8,4,11,10,19,0,0.0,0.018,0.357,5.179,0.179,0.536,0.0,0.179,0.179,1.607,1.429,0.714,1.964,1.786,3.393,0.0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,10,8,678,7.5,0,0.0,1,50,0,1,0,1,1,2,1.06,0.0,9,7,3,7,22,1,0.0,0.0,0.133,6.667,0.0,0.133,0.0,0.133,0.133,0.267,1.2,0.933,0.4,0.933,2.933,0.133
Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26.0,30,29,2523,28.0,3,2.5,21,86,0,94,11,13,31,97,1.32,0.11,34,23,17,26,97,4,0.107,0.089,0.75,3.071,0.0,3.357,0.393,0.464,1.107,3.464,1.214,0.821,0.607,0.929,3.464,0.143
Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22.0,31,29,2486,27.6,1,0.9,8,74,0,25,2,8,23,24,0.8,0.14,55,34,42,38,141,2,0.036,0.033,0.29,2.681,0.0,0.906,0.072,0.29,0.833,0.87,1.993,1.232,1.522,1.377,5.109,0.072
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29.0,32,23,2220,24.7,0,0.3,7,98,1,12,0,8,15,16,1.09,0.04,54,27,29,65,115,1,0.0,0.012,0.283,3.968,0.04,0.486,0.0,0.324,0.607,0.648,2.186,1.093,1.174,2.632,4.656,0.04
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38.0,15,14,1188,13.2,0,0.0,0,34,1,0,0,0,0,0,0.38,0.23,10,9,6,10,69,1,0.0,0.0,0.0,2.576,0.076,0.0,0.0,0.0,0.0,0.0,0.758,0.682,0.455,0.758,5.227,0.076
Omar Alderete,py PAR,DF,Getafe,es La Liga,27.0,34,34,2971,33.0,0,0.9,11,112,3,6,0,18,28,7,1.12,0.12,43,29,40,38,241,1,0.0,0.027,0.333,3.394,0.091,0.182,0.0,0.545,0.848,0.212,1.303,0.879,1.212,1.152,7.303,0.03
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25.0,33,28,2365,26.3,6,7.3,52,232,12,153,55,17,37,94,3.73,0.38,72,50,31,26,55,4,0.228,0.278,1.977,8.821,0.456,5.817,2.091,0.646,1.407,3.574,2.738,1.901,1.179,0.989,2.091,0.152
Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33.0,31,29,2647,29.4,0,1.3,21,215,2,42,15,16,25,49,1.56,0.2,35,21,34,22,126,4,0.0,0.044,0.714,7.313,0.068,1.429,0.51,0.544,0.85,1.667,1.19,0.714,1.156,0.748,4.286,0.136
Giorgio Altare,it ITA,DF,Venezia,it Serie A,25.0,12,8,753,8.4,0,0.1,1,20,0,7,0,5,6,5,0.6,0.0,13,12,17,21,49,0,0.0,0.012,0.119,2.381,0.0,0.833,0.0,0.595,0.714,0.595,1.548,1.429,2.024,2.5,5.833,0.0
Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23.0,22,19,1630,18.1,0,0.5,11,42,2,28,0,10,31,69,1.16,0.06,41,24,15,15,54,2,0.0,0.028,0.608,2.32,0.11,1.547,0.0,0.552,1.713,3.812,2.265,1.326,0.829,0.829,2.983,0.11
Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21.0,26,16,1572,17.5,3,1.1,17,60,0,31,10,32,72,171,2.63,0.52,26,9,8,19,29,1,0.171,0.063,0.971,3.429,0.0,1.771,0.571,1.829,4.114,9.771,1.486,0.514,0.457,1.086,1.657,0.057
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29.0,21,20,1781,19.8,0,0.2,4,105,1,3,0,6,9,0,0.91,0.1,25,13,34,10,129,1,0.0,0.01,0.202,5.303,0.051,0.152,0.0,0.303,0.455,0.0,1.263,0.657,1.717,0.505,6.515,0.051
Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30.0,11,8,790,8.8,0,0.2,6,36,0,15,0,7,13,21,1.59,0.11,24,17,7,10,18,0,0.0,0.023,0.682,4.091,0.0,1.705,0.0,0.795,1.477,2.386,2.727,1.932,0.795,1.136,2.045,0.0
Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26.0,30,23,2165,24.1,0,0.8,13,73,4,37,0,13,22,77,1.58,0.04,55,31,13,18,85,0,0.0,0.033,0.539,3.029,0.166,1.535,0.0,0.539,0.913,3.195,2.282,1.286,0.539,0.747,3.527,0.0
Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28.0,30,27,2437,27.1,3,3.3,24,140,1,37,0,14,27,100,1.74,0.22,49,31,18,21,70,4,0.111,0.122,0.886,5.166,0.037,1.365,0.0,0.517,0.996,3.69,1.808,1.144,0.664,0.775,2.583,0.148
