,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
33,Adrián,es ESP,GK,Betis,es La Liga,37.0,19,19,1710,19.0,66.7,1.0,es ESP,GK,es La Liga,37.0,1987.0,19.0,19.0,1710.0,19.0,27.0,1.42,76.0,49.0,65.8,10.0,5.0,4.0,3.0,15.8,1.0,1.0,0.0,0.0,1.0,es ESP,GK,es La Liga,37.0,1987.0,19.0,27.0,1.0,2.0,5.0,0.0,26.0,0.33,-1.0,-0.05,58.0,178.0,32.6,507.0,91.0,28.0,31.2,257.0,14.0,5.4,16.0,0.84,11.7
42,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,14,14,1206,13.4,100.0,2.0,es ESP,GK,es La Liga,23.0,2000.0,14.0,14.0,1206.0,13.4,9.0,0.67,34.0,24.0,76.5,9.0,4.0,1.0,5.0,35.7,2.0,1.0,1.0,0.0,2.0,es ESP,GK,es La Liga,23.0,2000.0,13.4,9.0,1.0,2.0,1.0,0.0,10.5,0.27,1.5,0.11,57.0,178.0,32.0,341.0,51.0,37.5,33.9,143.0,20.0,14.0,17.0,1.27,14.2
87,Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,28,28,2508,27.9,100.0,4.0,br BRA,GK,eng Premier League,31.0,1992.0,28.0,28.0,2508.0,27.9,29.0,1.04,100.0,73.0,72.0,18.0,7.0,3.0,9.0,32.1,1.0,1.0,0.0,0.0,4.0,br BRA,GK,eng Premier League,31.0,1992.0,27.9,29.0,1.0,0.0,2.0,2.0,30.5,0.3,3.5,0.13,68.0,203.0,33.5,877.0,128.0,19.7,26.6,255.0,11.0,4.3,49.0,1.76,16.0
147,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31.0,26,25,2260,25.1,100.0,5.0,fr FRA,GK,eng Premier League,31.0,1993.0,26.0,25.0,2260.0,25.1,41.0,1.63,115.0,77.0,64.3,5.0,7.0,13.0,5.0,20.0,0.0,0.0,0.0,0.0,5.0,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,41.0,0.0,0.0,5.0,3.0,35.4,0.31,-2.6,-0.1,135.0,384.0,35.2,788.0,119.0,34.4,32.1,394.0,15.0,3.8,30.0,1.19,15.0
160,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,31,31,2790,31.0,87.5,6.0,es ESP,GK,eng Premier League,29.0,1994.0,31.0,31.0,2790.0,31.0,39.0,1.26,134.0,95.0,73.9,13.0,7.0,11.0,8.0,25.8,4.0,4.0,0.0,0.0,6.0,es ESP,GK,eng Premier League,29.0,1994.0,31.0,39.0,4.0,0.0,4.0,0.0,41.0,0.28,2.0,0.07,132.0,365.0,36.2,831.0,122.0,33.2,32.9,367.0,22.0,6.0,54.0,1.74,16.0
173,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22.0,26,26,2307,25.6,90.9,7.0,de GER,GK,de Bundesliga,22.0,2002.0,26.0,26.0,2307.0,25.6,37.0,1.44,120.0,81.0,69.2,12.0,6.0,8.0,10.0,38.5,2.0,0.0,2.0,0.0,7.0,de GER,GK,de Bundesliga,22.0,2002.0,25.6,37.0,0.0,1.0,3.0,0.0,37.0,0.3,0.0,0.0,159.0,414.0,38.4,1012.0,110.0,32.4,33.1,377.0,34.0,9.0,28.0,1.09,12.7
174,Emil Audero,id IDN,GK,Como,it Serie A,27.0,8,8,720,8.0,66.7,8.0,id IDN,GK,it Serie A,27.0,1997.0,8.0,8.0,720.0,8.0,18.0,2.25,34.0,16.0,58.8,2.0,2.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,id IDN,GK,it Serie A,27.0,1997.0,8.0,18.0,4.0,0.0,2.0,0.0,12.4,0.27,-5.6,-0.7,17.0,55.0,30.9,232.0,30.0,22.0,28.6,95.0,5.0,5.3,8.0,1.0,12.9
259,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28.0,32,32,2880,32.0,100.0,10.0,ar ARG,GK,es La Liga,28.0,1996.0,32.0,32.0,2880.0,32.0,39.0,1.22,133.0,93.0,75.2,10.0,12.0,10.0,8.0,25.0,8.0,6.0,2.0,0.0,10.0,ar ARG,GK,es La Liga,28.0,1996.0,32.0,39.0,6.0,0.0,6.0,1.0,40.0,0.25,2.0,0.06,177.0,534.0,33.1,989.0,129.0,42.3,38.2,453.0,35.0,7.7,38.0,1.19,14.4
263,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34.0,28,28,2520,28.0,100.0,11.0,de GER,GK,de Bundesliga,34.0,1990.0,28.0,28.0,2520.0,28.0,53.0,1.89,138.0,84.0,63.0,6.0,8.0,14.0,4.0,14.3,5.0,2.0,3.0,0.0,11.0,de GER,GK,de Bundesliga,34.0,1990.0,28.0,53.0,2.0,1.0,7.0,2.0,52.1,0.36,1.1,0.04,178.0,478.0,37.2,923.0,121.0,41.6,36.5,407.0,18.0,4.4,31.0,1.11,14.5
342,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33.0,32,32,2880,32.0,100.0,15.0,nl NED,GK,fr Ligue 1,33.0,1991.0,32.0,32.0,2880.0,32.0,54.0,1.69,128.0,74.0,64.1,14.0,5.0,13.0,10.0,31.3,10.0,8.0,1.0,1.0,15.0,nl NED,GK,fr Ligue 1,33.0,1991.0,32.0,54.0,8.0,1.0,4.0,1.0,46.2,0.31,-6.8,-0.21,218.0,522.0,41.8,902.0,134.0,42.0,36.0,459.0,33.0,7.2,53.0,1.66,16.2
423,Jean Butez,fr FRA,GK,Como,it Serie A,29.0,19,18,1666,18.5,100.0,16.0,fr FRA,GK,it Serie A,29.0,1995.0,19.0,18.0,1666.0,18.5,20.0,1.08,68.0,48.0,73.5,8.0,4.0,6.0,5.0,27.8,2.0,2.0,0.0,0.0,16.0,fr FRA,GK,it Serie A,29.0,1995.0,18.5,20.0,2.0,0.0,1.0,0.0,20.1,0.27,0.1,0.0,90.0,235.0,38.3,709.0,92.0,30.2,32.0,190.0,22.0,11.6,51.0,2.76,18.2
