Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,Cmp,Att,Cmp%,TB,Crs,CK,1/3,PPA,Touches,PrgC,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,Cmp_p90,Att_p90,TB_p90,Crs_p90,CK_p90,1/3_p90,PPA_p90,Touches_p90,PrgC_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90,Cluster
Himad Abdelli,dz ALG,"MF,FW",CDM,Angers,fr Ligue 1,24.0,32,32,2842,31.6,1,3.2,39,207,1373,1672,82.1,23,44,10,171,38,1993,107,57,121,111,2.98,0.16,6,6.4,35,8,0.09,0.38,48,32,26,24,28,2,0.032,0.101,1.234,6.551,43.449,52.911,0.728,1.392,0.316,5.411,1.203,63.07,3.386,1.804,3.829,3.513,0.19,0.203,1.108,0.253,1.519,1.013,0.823,0.759,0.886,0.063,0
Ali Abdi,tn TUN,"DF,MF",CM,Nice,fr Ligue 1,30.0,25,17,1393,15.5,2,1.9,20,42,502,678,74.0,0,51,0,19,21,886,35,12,29,101,2.91,0.19,5,4.3,29,11,0.17,0.45,43,25,20,20,37,0,0.129,0.123,1.29,2.71,32.387,43.742,0.0,3.29,0.0,1.226,1.355,57.161,2.258,0.774,1.871,6.516,0.323,0.277,1.871,0.71,2.774,1.613,1.29,1.29,2.387,0.0,1
Zakaria Aboukhlal,ma MAR,"MF,FW",CM,Toulouse,fr Ligue 1,24.0,26,22,1901,21.1,2,1.6,12,22,221,349,63.3,0,33,3,16,10,613,34,16,53,164,1.61,0.33,7,10.2,62,26,0.1,0.23,22,13,6,16,9,0,0.095,0.076,0.569,1.043,10.474,16.54,0.0,1.564,0.142,0.758,0.474,29.052,1.611,0.758,2.512,7.773,0.332,0.483,2.938,1.232,1.043,0.616,0.284,0.758,0.427,0.0,1
Tyler Adams,us USA,MF,CDM,Bournemouth,eng Premier League,25.0,28,21,1965,21.8,3,1.0,18,76,902,1069,84.4,2,3,0,67,4,1337,14,4,18,10,1.88,0.18,0,1.6,9,2,0.0,0.0,83,50,32,33,42,0,0.138,0.046,0.826,3.486,41.376,49.037,0.092,0.138,0.0,3.073,0.183,61.33,0.642,0.183,0.826,0.459,0.0,0.073,0.413,0.092,3.807,2.294,1.468,1.514,1.927,0.0,0
Karim Adeyemi,de GER,"FW,MF",CM,Dortmund,de Bundesliga,22.0,25,17,1433,15.9,6,6.0,28,28,298,401,74.3,3,26,2,10,19,636,68,40,94,153,3.58,0.69,7,5.5,46,18,0.15,0.39,20,14,7,14,5,0,0.377,0.377,1.761,1.761,18.742,25.22,0.189,1.635,0.126,0.629,1.195,40.0,4.277,2.516,5.912,9.623,0.44,0.346,2.893,1.132,1.258,0.881,0.44,0.881,0.314,0.0,1
Simon Adingra,ci CIV,"FW,MF",CM,Brighton,eng Premier League,22.0,29,12,1097,12.2,2,2.5,16,18,290,382,75.9,2,41,1,5,17,548,50,21,50,136,3.86,0.57,2,2.5,33,8,0.06,0.25,23,14,8,12,6,2,0.164,0.205,1.311,1.475,23.77,31.311,0.164,3.361,0.082,0.41,1.393,44.918,4.098,1.721,4.098,11.148,0.164,0.205,2.705,0.656,1.885,1.148,0.656,0.984,0.492,0.164,1
Amine Adli,ma MAR,"MF,FW",CM,Leverkusen,de Bundesliga,24.0,20,6,766,8.5,0,0.7,11,24,267,360,74.2,0,33,3,9,15,468,37,15,32,100,3.41,0.0,2,2.7,20,7,0.1,0.29,15,9,0,11,4,0,0.0,0.082,1.294,2.824,31.412,42.353,0.0,3.882,0.353,1.059,1.765,55.059,4.353,1.765,3.765,11.765,0.235,0.318,2.353,0.824,1.765,1.059,0.0,1.294,0.471,0.0,1
Yacine Adli,fr FRA,MF,CAM,Fiorentina,it Serie A,24.0,25,14,1219,13.5,6,2.4,23,103,718,890,80.7,3,63,39,84,16,1021,24,12,32,30,3.64,0.73,4,1.0,14,5,0.29,0.8,32,19,6,13,19,0,0.444,0.178,1.704,7.63,53.185,65.926,0.222,4.667,2.889,6.222,1.185,75.63,1.778,0.889,2.37,2.222,0.296,0.074,1.037,0.37,2.37,1.407,0.444,0.963,1.407,0.0,2
Michel Aebischer,ch SUI,MF,CDM,Bologna,it Serie A,27.0,14,9,724,8.0,0,0.4,8,33,366,419,87.4,1,14,8,41,5,485,8,3,6,17,2.23,0.0,0,0.4,10,5,0.0,0.0,18,13,7,4,6,0,0.0,0.05,1.0,4.125,45.75,52.375,0.125,1.75,1.0,5.125,0.625,60.625,1.0,0.375,0.75,2.125,0.0,0.05,1.25,0.625,2.25,1.625,0.875,0.5,0.75,0.0,0
Oladapo Afolayan,eng ENG,"FW,MF",CM,St. Pauli,de Bundesliga,26.0,32,17,1639,18.2,1,3.8,21,32,320,461,69.4,1,53,0,23,14,741,53,48,98,108,2.86,0.33,3,3.1,38,13,0.08,0.23,17,8,8,17,20,0,0.055,0.209,1.154,1.758,17.582,25.33,0.055,2.912,0.0,1.264,0.769,40.714,2.912,2.637,5.385,5.934,0.165,0.17,2.088,0.714,0.934,0.44,0.44,0.934,1.099,0.0,1
Lucien Agoume,fr FRA,MF,CDM,Sevilla,es La Liga,22.0,35,24,2114,23.5,3,2.5,27,135,1007,1236,81.5,6,18,0,126,19,1481,29,22,30,23,2.55,0.21,1,0.9,10,2,0.1,0.5,70,32,41,30,42,0,0.128,0.106,1.149,5.745,42.851,52.596,0.255,0.766,0.0,5.362,0.809,63.021,1.234,0.936,1.277,0.979,0.043,0.038,0.426,0.085,2.979,1.362,1.745,1.277,1.787,0.0,0
