Rk,Player,Nation,Squad,Age,Pos,Min,90s,Gls,G-PK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Ast,xAG,G+A,G+A-PK,xG+xAG,KP,PPA,CrsPA,PrgP,PrgC,PrgR,SCA,GCA,Carries,Att Pen,CPA,Rec
5,Keyliane Abdallah,fr FRA,Marseille,18.0,FW,3,0.0,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,3
7,Himad Abdelli,dz ALG,Angers,24.0,"MF,FW",2842,31.6,6,3,3,4,6.4,3.2,0.09,-0.4,35,8,22.9,1.11,0.25,0.09,0.38,22.6,1,3.2,7,0.13,0.3,39,38,3,207,107,111,94,5,1183,49,17,1446
14,Matthis Abline,fr FRA,Nantes,21.0,FW,2768,30.8,9,8,1,1,8.5,7.7,0.11,0.5,73,26,35.6,2.37,0.85,0.11,0.31,15.0,2,3.8,11,0.33,0.4,27,15,4,48,75,169,61,9,587,142,42,689
16,Zakaria Aboukhlal,ma MAR,Toulouse,24.0,"MF,FW",1901,21.1,7,6,1,2,10.2,8.6,0.14,-3.2,62,26,41.9,2.94,1.23,0.1,0.23,14.6,2,1.6,9,0.38,0.56,12,10,4,22,34,164,34,7,375,113,19,450
18,Tammy Abraham,eng ENG,Roma,26.0,FW,1,0.0,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,1,0,2,0,0,3,1,0,4
19,Tammy Abraham,eng ENG,Milan,26.0,FW,1183,13.1,3,2,1,2,7.1,5.4,0.21,-4.1,26,11,42.3,1.98,0.84,0.08,0.18,13.4,4,2.2,7,0.46,0.7,14,10,0,26,8,69,33,9,158,57,4,241
23,Akor Adams,ng NGA,Sevilla,24.0,FW,134,1.5,0,0,0,0,0.4,0.4,0.22,-0.4,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0.0,0,0.0,0.29,0,1,0,5,0,5,0,0,5,1,0,20
24,Akor Adams,ng NGA,Montpellier,24.0,FW,1075,11.9,3,3,0,0,4.3,4.3,0.16,-1.3,26,12,46.2,2.18,1.0,0.12,0.25,13.3,1,1.0,4,0.33,0.44,12,0,0,6,11,45,25,5,126,49,7,174
25,Che Adams,sct SCO,Torino,28.0,FW,2652,29.5,9,9,0,1,9.0,8.2,0.13,0.0,63,25,39.7,2.14,0.85,0.14,0.36,15.7,3,2.0,12,0.41,0.37,26,7,0,40,23,153,63,5,509,104,9,630
27,Junior Adamu,at AUT,Freiburg,23.0,FW,1545,17.2,2,2,0,0,5.5,5.5,0.16,-3.5,36,11,30.6,2.1,0.64,0.06,0.18,12.4,2,2.4,4,0.23,0.46,17,8,0,14,8,84,29,3,275,80,4,350
30,Karim Adeyemi,de GER,Dortmund,22.0,"FW,MF",1433,15.9,7,7,0,0,5.5,5.5,0.12,1.5,46,18,39.1,2.89,1.13,0.15,0.39,17.6,6,6.0,13,0.82,0.72,28,19,2,28,68,153,57,11,417,88,41,465
31,Simon Adingra,ci CIV,Brighton,22.0,"FW,MF",1097,12.2,2,2,0,0,2.5,2.5,0.07,-0.5,33,8,24.2,2.71,0.66,0.06,0.25,17.0,2,2.5,4,0.33,0.4,16,17,6,18,50,136,47,7,366,76,27,388
32,Amine Adli,ma MAR,Leverkusen,24.0,"MF,FW",766,8.5,2,2,0,0,2.7,2.7,0.14,-0.7,20,7,35.0,2.35,0.82,0.1,0.29,13.1,0,0.7,2,0.23,0.4,11,15,4,24,37,100,29,0,248,53,11,350
36,Vasilije Adžić,me MNE,Juventus,18.0,"MF,FW",42,0.5,0,0,0,0,0.0,0.0,0.03,0.0,1,1,100.0,2.14,2.14,0.0,0.0,29.1,0,0.0,0,0.0,0.05,0,1,0,1,0,3,2,0,14,2,0,20
38,Oladapo Afolayan,eng ENG,St. Pauli,26.0,"FW,MF",1639,18.2,3,3,0,0,3.1,3.1,0.08,-0.1,38,13,34.2,2.09,0.71,0.08,0.23,20.4,1,3.8,4,0.22,0.38,21,14,10,32,53,108,52,6,495,62,28,555
42,Jeremy Agbonifo,se SWE,Lens,18.0,"FW,MF",300,3.3,1,1,0,0,0.7,0.7,0.11,0.3,6,4,66.7,1.8,1.2,0.17,0.25,14.1,0,0.2,1,0.3,0.26,3,4,2,6,13,36,8,0,84,16,10,92
50,Naouirou Ahamada,fr FRA,Rennes,22.0,"MF,FW",58,0.6,0,0,0,0,0.0,0.0,0.02,0.0,1,0,0.0,1.55,0.0,0.0,,28.2,0,0.0,0,0.0,0.03,0,0,0,1,2,1,2,0,16,0,0,17
52,Erik Ahlstrand,se SWE,St. Pauli,22.0,"FW,MF",43,0.5,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,1,1,3,0,0,12,2,0,14
56,Ayman Aiki,fr FRA,Saint-Étienne,19.0,"FW,MF",127,1.4,0,0,0,0,0.1,0.1,0.03,-0.1,3,1,33.3,2.13,0.71,0.0,0.0,23.5,0,0.0,0,0.0,0.09,1,1,0,5,4,8,1,0,33,2,1,37
59,Junior Ajayi,ci CIV,Hellas Verona,19.0,FW,13,0.1,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,5,0,0,5
61,Ludovic Ajorque,fr FRA,Brest,30.0,FW,2495,27.7,13,13,0,1,10.4,9.6,0.18,2.6,53,25,47.2,1.91,0.9,0.25,0.52,12.1,2,3.1,15,0.54,0.49,35,11,1,41,10,124,60,8,410,125,4,658
65,Ilias Akhomach,ma MAR,Villarreal,20.0,"MF,FW",584,6.5,1,1,0,0,0.6,0.6,0.03,0.4,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,1.0,1,0.15,0.23,9,8,2,12,30,64,29,1,200,29,20,209
67,Maghnes Akliouche,fr FRA,Monaco,22.0,"FW,MF",2406,26.7,5,4,1,1,9.2,8.4,0.14,-4.2,61,17,27.9,2.28,0.64,0.07,0.24,16.0,10,7.3,15,0.52,0.62,49,64,3,173,127,226,119,19,999,156,47,1149
71,David Akpan Ankeye,ng NGA,Genoa,22.0,"FW,MF",45,0.5,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,1,0,1,0,3,1,1,6,0,0,10
